12 6
[[1.172183  0.7678161 1.404121  1.193106  1.16874   0.7185046]
 [0.5350965 1.139516  1.165069  0.7368011 1.167025  0.8403192]
 [1.382148  0.5036488 1.02645   0.4132719 1.439612  1.16761  ]
 [0.6601775 0.3443954 1.386107  0.5093689 1.142011  1.207153 ]
 [1.26655   1.322904  0.2847096 1.282381  0.9688077 1.050183 ]
 [1.040825  0.4493792 1.346696  0.7252691 1.336406  0.5017022]
 [1.021945  0.8910859 1.40746   0.8984367 0.6831999 0.4399996]
 [0.6518139 0.7257647 0.459289  0.8689527 0.5490739 0.3239852]
 [1.462631  1.289247  1.438556  1.298993  0.7309724 1.210459 ]
 [1.376317  0.5488957 0.2643681 0.8932478 0.3921249 0.7743091]
 [1.247578  0.309139  0.4561313 1.267057  0.4198984 0.3902833]
 [1.064971  0.7959713 0.2825254 0.7374228 0.4264809 0.6936536]]
