12 4
[[1.334306  1.358825  0.8287589 1.117911 ]
 [0.2891707 1.248421  0.6574689 0.256703 ]
 [1.186975  0.832015  0.7777784 0.4216849]
 [1.380998  0.7949452 0.5264677 1.440331 ]
 [1.376686  1.41586   1.489059  0.2778616]
 [1.423535  0.4091712 1.353636  0.8380628]
 [1.049966  1.467835  1.09375   0.4038596]
 [0.4461851 1.365725  0.7021019 0.8526616]
 [1.1742    0.2896883 0.2570071 1.258885 ]
 [0.9974844 0.5175208 0.2839392 0.4727457]
 [1.116961  1.47205   1.116354  0.3653886]
 [0.2810443 1.10211   1.034913  0.3986136]]
