12 6
[[1.357937  0.9848348 0.3037205 0.3975851 0.784376  1.189865 ]
 [0.4534046 0.912771  1.332146  1.244991  0.7047482 0.2671617]
 [0.3787283 0.4758432 1.446986  0.8610542 0.5143424 0.4149368]
 [0.4204237 0.8635215 0.6327789 0.7968811 0.2744409 1.145282 ]
 [0.8130977 0.2856182 1.211485  0.9908695 1.081969  0.5729425]
 [1.295758  0.3633941 0.4812511 1.081954  1.100927  1.213258 ]
 [0.5346236 0.8274473 1.477678  0.4485995 1.438714  0.7168332]
 [0.8478934 0.4194009 1.102965  0.7324324 1.304356  1.461555 ]
 [0.9287668 0.9191281 0.7710366 0.445355  1.103506  0.843334 ]
 [1.087272  0.3892183 1.322159  1.237184  1.487325  1.235005 ]
 [1.368047  1.449067  0.2543483 0.9234483 1.216758  0.684763 ]
 [0.291346  0.295363  1.136426  0.9942732 0.8424185 1.211084 ]]
