12 4
[[0.9494722 0.7098425 0.5324713 1.370333 ]
 [0.4961885 0.6156011 0.2880096 1.325482 ]
 [1.318833  0.5894464 0.8636645 0.8543829]
 [0.3036594 1.199506  0.3231793 1.137202 ]
 [0.9131715 1.013151  0.8027534 0.4391597]
 [0.3054208 0.5487654 1.029209  0.6458205]
 [1.069827  0.6418675 1.349227  0.5159268]
 [0.4016624 1.345975  1.408164  0.7840953]
 [0.9397829 0.9564785 0.7435933 0.6788708]
 [0.8973933 0.5451251 0.4184098 0.9684924]
 [0.3522956 1.218437  0.3983127 0.6392946]
 [0.6576489 0.6017115 1.047983  0.5645486]]
