12 4
[[1.22795   0.4008859 0.833622  1.279908 ]
 [0.4003022 0.8792717 0.9774662 0.5529191]
 [0.429731  1.400055  0.4097808 0.8473976]
 [1.151109  0.9220667 0.426824  0.7670663]
 [0.7911054 0.3580421 1.264552  0.7286755]
 [0.5576063 0.4816608 0.6556867 1.157187 ]
 [0.6259065 1.261543  0.9041352 1.136319 ]
 [1.372876  0.7254876 0.6937279 0.3668139]
 [0.5745929 1.499084  1.378851  1.424435 ]
 [0.6223782 0.2886979 0.2828265 0.5305263]
 [1.181706  0.3575469 0.7907883 0.5092561]
 [0.9468726 1.102002  1.302881  0.6865795]]
